name,region,delegation,commune,category_code,category_name,facility_type,departments
Imzouren,Tanger-Tetouan-Al Hoceima,Al Hoceima,Imzouren,HPr,Hôpital de Proximité,Hôpital,"Médecine générale,Soins d'urgence,Laboratoire,Pédiatrie"
C. d'oncologie d'Al Hoceima,Tanger-Tetouan-Al Hoceima,Al Hoceima,Al Hoceima,CRO,Centre Régional d'Oncologie,Hôpital,"Oncologie,Chimiothérapie,Radiothérapie,Hématologie oncologie"
Mohamed V,Tanger-Tetouan-Al Hoceima,Al Hoceima,Al Hoceima,HP,Hôpital Préfectoral,Hôpital,"Médecine générale,Chirurgie,Pédiatrie,Gynécologie,Urgences,Laboratoire,Radiologie"
Targuist,Tanger-Tetouan-Al Hoceima,Al Hoceima,Targuist,HPr,Hôpital de Proximité,Hôpital,"Médecine générale,Soins d'urgence,Laboratoire,Pédiatrie"
Mohammed VI,Tanger-Tetouan-Al Hoceima,Al Hoceima,Ait Youssef Ou Ali,HP,Hôpital Préfectoral,Hôpital,"Médecine générale,Chirurgie,Pédiatrie,Gynécologie,Urgences,Laboratoire,Radiologie"
Mohamed V,Tanger-Tetouan-Al Hoceima,Chefchaouen,Chefchaouen,HP,Hôpital Préfectoral,Hôpital,"Médecine générale,Chirurgie,Pédiatrie,Gynécologie,Urgences,Laboratoire,Radiologie"
Ksar El Kebir,Tanger-Tetouan-Al Hoceima,Larache,Ksar El Kebir,HPr,Hôpital de Proximité,Hôpital,"Médecine générale,Soins d'urgence,Laboratoire,Pédiatrie"
Lalla Meriem,Tanger-Tetouan-Al Hoceima,Larache,Larache,HP,Hôpital Préfectoral,Hôpital,"Médecine générale,Chirurgie,Pédiatrie,Gynécologie,Urgences,Laboratoire,Radiologie"
Abou Kacem Zahraoui,Tanger-Tetouan-Al Hoceima,Ouezzane,Ouezzane,HP,Hôpital Préfectoral,Hôpital,"Médecine générale,Chirurgie,Pédiatrie,Gynécologie,Urgences,Laboratoire,Radiologie"
Duc De Tovar,Tanger-Tetouan-Al Hoceima,Tanger Assilah,Al Madina,HR,Hôpital Régional,Hôpital,"Médecine générale,Chirurgie,Pédiatrie,Gynécologie,Cardiologie,Neurologie,Urgences,Radiologie,Laboratoire,Maternité"
